Entry_ID,Source_Organism,Accession_Code
1I4F,Homo sapiens,"('P61769', 'P43358')"
1IM3,Homo sapiens,"('P04439', 'P61769')"
1IM3,Homo sapiens,"('P04439', 'P14079')"
1IM3,Homo sapiens,"('P61769', 'P14079')"
1IM9,Homo sapiens,"('P10321', 'P61769')"
1IM9,Homo sapiens,"('P10321', 'P43626')"
1IM9,Homo sapiens,"('P61769', 'P43626')"
1J1D,Homo sapiens,"('P63316', 'P45379')"
1J1D,Homo sapiens,"('P63316', 'P19429')"
1J1D,Homo sapiens,"('P45379', 'P19429')"
1J1E,Homo sapiens,"('P63316', 'P45379')"
1J1E,Homo sapiens,"('P63316', 'P19429')"
1J1E,Homo sapiens,"('P45379', 'P19429')"
1JK8,Homo sapiens,"('P01909', 'P01920')"
1JK8,Homo sapiens,"('P01909', 'P01308')"
1JK8,Homo sapiens,"('P01920', 'P01308')"
1JSU,Homo sapiens,"('P24941', 'P20248')"
1JSU,Homo sapiens,"('P24941', 'P46527')"
1JSU,Homo sapiens,"('P20248', 'P46527')"
1K74,Homo sapiens,"('P19793', 'P37231')"
1K74,Homo sapiens,"('P19793', 'Q15788')"
1K74,Homo sapiens,"('P37231', 'Q15788')"
1KLG,Homo sapiens,"('P01903', 'P01911')"
1KLG,Homo sapiens,"('P01903', 'P60174')"
1KLG,Homo sapiens,"('P01911', 'P60174')"
1KLU,Homo sapiens,"('P01903', 'P01911')"
1KLU,Homo sapiens,"('P01903', 'P60174')"
1KLU,Homo sapiens,"('P01911', 'P60174')"
1L1O,Homo sapiens,"('P35244', 'P15927')"
1L1O,Homo sapiens,"('P35244', 'P27694')"
1L1O,Homo sapiens,"('P15927', 'P27694')"
1LP9,Homo sapiens,"('P04439', 'P61769')"
1LP9,Homo sapiens,"('P04439', 'Q9NPA0')"
1LP9,Homo sapiens,"('P61769', 'Q9NPA0')"
1LT9,Homo sapiens,"('P02671', 'P02675')"
1LT9,Homo sapiens,"('P02671', 'P02679')"
1LT9,Homo sapiens,"('P02675', 'P02679')"
1LTJ,Homo sapiens,"('P02671', 'P02675')"
1LTJ,Homo sapiens,"('P02671', 'P02679')"
1LTJ,Homo sapiens,"('P02675', 'P02679')"
1M05,Homo sapiens,"('P01889', 'P61769')"
1M05,Homo sapiens,"('P01889', 'P12977')"
1M05,Homo sapiens,"('P61769', 'P12977')"
1M27,Homo sapiens,"('O60880', 'Q13291')"
1M27,Homo sapiens,"('O60880', 'P06241')"
1M27,Homo sapiens,"('Q13291', 'P06241')"
1M63,Homo sapiens,"('Q08209', 'P63098')"
1M63,Homo sapiens,"('Q08209', 'P62937')"
1M63,Homo sapiens,"('P63098', 'P62937')"
1M6O,Homo sapiens,"('P01889', 'P61769')"
1M6O,Homo sapiens,"('P01889', 'Q95HB9')"
1M6O,Homo sapiens,"('P61769', 'Q95HB9')"
1MF8,Homo sapiens,"('Q08209', 'P63098')"
1MF8,Homo sapiens,"('Q08209', 'P62937')"
1MF8,Homo sapiens,"('P63098', 'P62937')"
1N2R,Homo sapiens,"('P01889', 'P61769')"
1N2R,Homo sapiens,"('P01889', 'Q95HB9')"
1N2R,Homo sapiens,"('P61769', 'Q95HB9')"
1N86,Homo sapiens,"('P02671', 'P02675')"
1N86,Homo sapiens,"('P02671', 'P02679')"
1N86,Homo sapiens,"('P02675', 'P02679')"
1N8E,Homo sapiens,"('P02671', 'P02675')"
1N8E,Homo sapiens,"('P02671', 'P02679')"
1N8E,Homo sapiens,"('P02675', 'P02679')"
1NFI,Homo sapiens,"('Q04206', 'P19838')"
1NFI,Homo sapiens,"('Q04206', 'P25963')"
1NFI,Homo sapiens,"('P19838', 'P25963')"
1NY2,Homo sapiens,"('P28504', 'P00734')"
1NY2,Homo sapiens,"('P28504', 'P01042')"
1NY2,Homo sapiens,"('P00734', 'P01042')"
1OF2,Homo sapiens,"('P01889', 'P61769')"
1OF2,Homo sapiens,"('P01889', 'P32241')"
1OF2,Homo sapiens,"('P61769', 'P32241')"
1OGT,Homo sapiens,"('P01889', 'P61769')"
1OGT,Homo sapiens,"('P01889', 'P32241')"
1OGT,Homo sapiens,"('P61769', 'P32241')"
1P22,Homo sapiens,"('Q9Y297', 'P63208')"
1P22,Homo sapiens,"('Q9Y297', 'P35222')"
1P22,Homo sapiens,"('P63208', 'P35222')"
1P9M,Homo sapiens,"('P40189', 'P05231')"
1P9M,Homo sapiens,"('P40189', 'P08887')"
1P9M,Homo sapiens,"('P05231', 'P08887')"
1PK6,Homo sapiens,"('P02745', 'P02746')"
1PK6,Homo sapiens,"('P02745', 'P02747')"
1PK6,Homo sapiens,"('P02746', 'P02747')"
1PYW,Homo sapiens,"('P01903', 'P01911')"
1PYW,Homo sapiens,"('P01903', 'P03437')"
1PYW,Homo sapiens,"('P01911', 'P03437')"
1QEW,Homo sapiens,"('P04439', 'P61769')"
1QEW,Homo sapiens,"('P04439', 'P43357')"
1QEW,Homo sapiens,"('P61769', 'P43357')"
1QR1,Homo sapiens,"('P04439', 'P61769')"
1QR1,Homo sapiens,"('P04439', 'P04626')"
1QR1,Homo sapiens,"('P61769', 'P04626')"
1QRN,Homo sapiens,"('P04439', 'P61769')"
1QRN,Homo sapiens,"('P04439', 'P01848')"
1QRN,Homo sapiens,"('P61769', 'P01848')"
1QSF,Homo sapiens,"('P04439', 'P61769')"
1QSF,Homo sapiens,"('P04439', 'P01848')"
1QSF,Homo sapiens,"('P61769', 'P01848')"
1R4M,Homo sapiens,"('Q13564', 'Q8TBC4')"
1R4M,Homo sapiens,"('Q13564', 'Q15843')"
1R4M,Homo sapiens,"('Q8TBC4', 'Q15843')"
1R4N,Homo sapiens,"('Q13564', 'Q8TBC4')"
1R4N,Homo sapiens,"('Q13564', 'Q15843')"
1R4N,Homo sapiens,"('Q8TBC4', 'Q15843')"
1R5I,Homo sapiens,"('P01903', 'P01911')"
1R5I,Homo sapiens,"('P01903', 'P11133')"
1R5I,Homo sapiens,"('P01911', 'P11133')"
1RE3,Homo sapiens,"('P02671', 'P02675')"
1RE3,Homo sapiens,"('P02671', 'P02679')"
1RE3,Homo sapiens,"('P02675', 'P02679')"
1RE4,Homo sapiens,"('P02671', 'P02675')"
1RE4,Homo sapiens,"('P02671', 'P02679')"
1RE4,Homo sapiens,"('P02675', 'P02679')"
1RF0,Homo sapiens,"('P02671', 'P02675')"
1RF0,Homo sapiens,"('P02671', 'P02679')"
1RF0,Homo sapiens,"('P02675', 'P02679')"
1RF1,Homo sapiens,"('P02671', 'P02675')"
1RF1,Homo sapiens,"('P02671', 'P02679')"
1RF1,Homo sapiens,"('P02675', 'P02679')"
1S8D,Homo sapiens,"('P04439', 'P61769')"
1S8D,Homo sapiens,"('P04439', 'O11818')"
1S8D,Homo sapiens,"('P61769', 'O11818')"
1S9W,Homo sapiens,"('P04439', 'P61769')"
1S9W,Homo sapiens,"('P04439', 'P78358')"
1S9W,Homo sapiens,"('P61769', 'P78358')"
1SJE,Homo sapiens,"('P01903', 'P01911')"
1SJE,Homo sapiens,"('P01903', 'P12495')"
1SJE,Homo sapiens,"('P01911', 'P12495')"
1SYS,Homo sapiens,"('P01889', 'P61769')"
1SYS,Homo sapiens,"('P01889', 'Q9Y5X3')"
1SYS,Homo sapiens,"('P61769', 'Q9Y5X3')"
1SYV,Homo sapiens,"('P01889', 'P61769')"
1SYV,Homo sapiens,"('P01889', 'Q9TQB0')"
1SYV,Homo sapiens,"('P61769', 'Q9TQB0')"
1T08,Homo sapiens,"('P35222', 'Q9NSA3')"
1T08,Homo sapiens,"('P35222', 'P25054')"
1T08,Homo sapiens,"('Q9NSA3', 'P25054')"
1T1W,Homo sapiens,"('P04439', 'P61769')"
1T1W,Homo sapiens,"('P04439', 'O11822')"
1T1W,Homo sapiens,"('P61769', 'O11822')"
1T5W,Homo sapiens,"('P01903', 'P01911')"
1T5W,Homo sapiens,"('P01903', 'P27705')"
1T5W,Homo sapiens,"('P01911', 'P27705')"
1T5X,Homo sapiens,"('P01903', 'P01911')"
1T5X,Homo sapiens,"('P01903', 'P27705')"
1T5X,Homo sapiens,"('P01911', 'P27705')"
1T9G,Homo sapiens,"('P38117', 'P11310')"
1T9G,Homo sapiens,"('P38117', 'P13804')"
1T9G,Homo sapiens,"('P11310', 'P13804')"
1TMT,Homo sapiens,"('P00734', 'P01050')"
1TMT,Homo sapiens,"('P00734', 'P28504')"
1TMT,Homo sapiens,"('P01050', 'P28504')"
1TT5,Homo sapiens,"('Q13564', 'Q8TBC4')"
1TT5,Homo sapiens,"('Q13564', 'P61081')"
1TT5,Homo sapiens,"('Q8TBC4', 'P61081')"
1TVB,Homo sapiens,"('P04439', 'P61769')"
1TVB,Homo sapiens,"('P04439', 'P40967')"
1TVB,Homo sapiens,"('P61769', 'P40967')"
1TVH,Homo sapiens,"('P04439', 'P61769')"
1TVH,Homo sapiens,"('P04439', 'P40967')"
1TVH,Homo sapiens,"('P61769', 'P40967')"
1U6G,Homo sapiens,"('Q13616', 'P62877')"
1U6G,Homo sapiens,"('Q13616', 'Q86VP6')"
1U6G,Homo sapiens,"('P62877', 'Q86VP6')"
1UHL,Homo sapiens,"('P28702', 'Q13133')"
1UHL,Homo sapiens,"('P28702', 'Q15596')"
1UHL,Homo sapiens,"('Q13133', 'Q15596')"
1UVQ,Homo sapiens,"('E9PMV2', 'P01920')"
1UVQ,Homo sapiens,"('E9PMV2', 'O43612')"
1UVQ,Homo sapiens,"('P01920', 'O43612')"
1VCB,Homo sapiens,"('Q15370', 'Q15369')"
1VCB,Homo sapiens,"('Q15370', 'P40337')"
1VCB,Homo sapiens,"('Q15369', 'P40337')"
1W0V,Homo sapiens,"('P01889', 'P61769')"
1W0V,Homo sapiens,"('P01889', 'P47974')"
1W0V,Homo sapiens,"('P61769', 'P47974')"
1W0W,Homo sapiens,"('P01889', 'P61769')"
1W0W,Homo sapiens,"('P01889', 'P47974')"
1W0W,Homo sapiens,"('P61769', 'P47974')"
1W72,Homo sapiens,"('P04439', 'P61769')"
1W72,Homo sapiens,"('P04439', 'P43355')"
1W72,Homo sapiens,"('P61769', 'P43355')"
1X7Q,Homo sapiens,"('P04439', 'P61769')"
1X7Q,Homo sapiens,"('P04439', 'P59595')"
1X7Q,Homo sapiens,"('P61769', 'P59595')"
1XR8,Homo sapiens,"('P01889', 'P61769')"
1XR8,Homo sapiens,"('P01889', 'P12977')"
1XR8,Homo sapiens,"('P61769', 'P12977')"
1XR9,Homo sapiens,"('P01889', 'P61769')"
1XR9,Homo sapiens,"('P01889', 'P51965')"
1XR9,Homo sapiens,"('P61769', 'P51965')"
1XV9,Homo sapiens,"('P19793', 'Q14994')"
1XV9,Homo sapiens,"('P19793', 'Q15788')"
1XV9,Homo sapiens,"('Q14994', 'Q15788')"
1XVP,Homo sapiens,"('P19793', 'Q14994')"
1XVP,Homo sapiens,"('P19793', 'Q15788')"
1XVP,Homo sapiens,"('Q14994', 'Q15788')"
1XWD,Homo sapiens,"('P01225', 'P23945')"
1XWD,Homo sapiens,"('P01225', 'P01215')"
1XWD,Homo sapiens,"('P23945', 'P01215')"
1Y8R,Homo sapiens,"('Q9UBE0', 'Q9UBT2')"
1Y8R,Homo sapiens,"('Q9UBE0', 'P63165')"
1Y8R,Homo sapiens,"('Q9UBT2', 'P63165')"
1ZSD,Homo sapiens,"('P01889', 'P61769')"
1ZSD,Homo sapiens,"('P01889', 'P03206')"
1ZSD,Homo sapiens,"('P61769', 'P03206')"
2A1T,Homo sapiens,"('P11310', 'P38117')"
2A1T,Homo sapiens,"('P11310', 'P13804')"
2A1T,Homo sapiens,"('P38117', 'P13804')"
2A83,Homo sapiens,"('P01889', 'P61769')"
2A83,Homo sapiens,"('P01889', 'P47871')"
2A83,Homo sapiens,"('P61769', 'P47871')"
2ASS,Homo sapiens,"('P63208', 'Q13309')"
2ASS,Homo sapiens,"('P63208', 'P61024')"
2ASS,Homo sapiens,"('Q13309', 'P61024')"
2AXF,Homo sapiens,"('P01889', 'P61769')"
2AXF,Homo sapiens,"('P01889', 'P03206')"
2AXF,Homo sapiens,"('P61769', 'P03206')"
2AXG,Homo sapiens,"('P01889', 'P61769')"
2AXG,Homo sapiens,"('P01889', 'P03206')"
2AXG,Homo sapiens,"('P61769', 'P03206')"
2AZE,Homo sapiens,"('Q14186', 'Q01094')"
2AZE,Homo sapiens,"('Q14186', 'P06400')"
2AZE,Homo sapiens,"('Q01094', 'P06400')"
2BCK,Homo sapiens,"('P04439', 'P61769')"
2BCK,Homo sapiens,"('P04439', 'O14746')"
2BCK,Homo sapiens,"('P61769', 'O14746')"
2C9W,Homo sapiens,"('O14508', 'Q15370')"
2C9W,Homo sapiens,"('O14508', 'Q15369')"
2C9W,Homo sapiens,"('Q15370', 'Q15369')"
2CCH,Homo sapiens,"('P24941', 'P20248')"
2CCH,Homo sapiens,"('P24941', 'Q99741')"
2CCH,Homo sapiens,"('P20248', 'Q99741')"
2CCI,Homo sapiens,"('P24941', 'P20248')"
2CCI,Homo sapiens,"('P24941', 'Q99741')"
2CCI,Homo sapiens,"('P20248', 'Q99741')"
2CIK,Homo sapiens,"('P33260', 'O19626')"
2CIK,Homo sapiens,"('P33260', 'P61769')"
2CIK,Homo sapiens,"('O19626', 'P61769')"
2CLR,Homo sapiens,"('P04439', 'P61769')"
2CLR,Homo sapiens,"('P04439', 'P27797')"
2CLR,Homo sapiens,"('P61769', 'P27797')"
2D31,Homo sapiens,"('P17693', 'P61769')"
2D31,Homo sapiens,"('P17693', 'P16104')"
2D31,Homo sapiens,"('P61769', 'P16104')"
2DSQ,Homo sapiens,"('P22692', 'Q9NP10')"
2DSQ,Homo sapiens,"('P22692', 'P08833')"
2DSQ,Homo sapiens,"('Q9NP10', 'P08833')"
2ESG,Homo sapiens,"('P60568', 'P01876')"
2ESG,Homo sapiens,"('P60568', 'P02768')"
2ESG,Homo sapiens,"('P01876', 'P02768')"
2F8X,Homo sapiens,"('Q06330', 'P46531')"
2F8X,Homo sapiens,"('Q06330', 'Q92585')"
2F8X,Homo sapiens,"('P46531', 'Q92585')"
2FFD,Homo sapiens,"('P02671', 'P02675')"
2FFD,Homo sapiens,"('P02671', 'P02679')"
2FFD,Homo sapiens,"('P02675', 'P02679')"
2FYY,Homo sapiens,"('O19626', 'P61769')"
2FYY,Homo sapiens,"('O19626', 'P03211')"
2FYY,Homo sapiens,"('P61769', 'P03211')"
2FZ3,Homo sapiens,"('O19626', 'P61769')"
2FZ3,Homo sapiens,"('O19626', 'P03211')"
2FZ3,Homo sapiens,"('P61769', 'P03211')"
2G9H,Homo sapiens,"('P01903', 'P01911')"
2G9H,Homo sapiens,"('P01903', 'P04664')"
2G9H,Homo sapiens,"('P01911', 'P04664')"
2GL7,Homo sapiens,"('P35222', 'Q9NQB0')"
2GL7,Homo sapiens,"('P35222', 'O00512')"
2GL7,Homo sapiens,"('Q9NQB0', 'O00512')"
2GT9,Homo sapiens,"('P04439', 'P61769')"
2GT9,Homo sapiens,"('P04439', 'Q16655')"
2GT9,Homo sapiens,"('P61769', 'Q16655')"
2GTW,Homo sapiens,"('P04439', 'P61769')"
2GTW,Homo sapiens,"('P04439', 'Q16655')"
2GTW,Homo sapiens,"('P61769', 'Q16655')"
2GTZ,Homo sapiens,"('P04439', 'P61769')"
2GTZ,Homo sapiens,"('P04439', 'Q16655')"
2GTZ,Homo sapiens,"('P61769', 'Q16655')"
2GUO,Homo sapiens,"('P04439', 'P61769')"
2GUO,Homo sapiens,"('P04439', 'Q16655')"
2GUO,Homo sapiens,"('P61769', 'Q16655')"
2H32,Homo sapiens,"('Q16655', 'P12018')"
2H32,Homo sapiens,"('Q16655', 'P15814')"
2H32,Homo sapiens,"('P12018', 'P15814')"
2H43,Homo sapiens,"('P02671', 'P02675')"
2H43,Homo sapiens,"('P02671', 'P02679')"
2H43,Homo sapiens,"('P02675', 'P02679')"
2H62,Homo sapiens,"('P12643', 'P36894')"
2H62,Homo sapiens,"('P12643', 'Q13705')"
2H62,Homo sapiens,"('P36894', 'Q13705')"
2H6P,Homo sapiens,"('P01889', 'P61769')"
2H6P,Homo sapiens,"('P01889', 'P33260')"
2H6P,Homo sapiens,"('P61769', 'P33260')"
2HFG,Homo sapiens,"('P29466', 'Q6N093')"
2HFG,Homo sapiens,"('P29466', 'Q96RJ3')"
2HFG,Homo sapiens,"('Q6N093', 'Q96RJ3')"
2HJK,Homo sapiens,"('Q9MYI6', 'P61769')"
2HJK,Homo sapiens,"('Q9MYI6', 'Q70AA1')"
2HJK,Homo sapiens,"('P61769', 'Q70AA1')"
2HJL,Homo sapiens,"('P01889', 'P61769')"
2HJL,Homo sapiens,"('P01889', 'Q1KW74')"
2HJL,Homo sapiens,"('P61769', 'Q1KW74')"
2HLO,Homo sapiens,"('P02671', 'P02675')"
2HLO,Homo sapiens,"('P02671', 'P02679')"
2HLO,Homo sapiens,"('P02675', 'P02679')"
2HOD,Homo sapiens,"('P02671', 'P02675')"
2HOD,Homo sapiens,"('P02671', 'P02679')"
2HOD,Homo sapiens,"('P02675', 'P02679')"
2HPC,Homo sapiens,"('P02671', 'P02675')"
2HPC,Homo sapiens,"('P02671', 'P02679')"
2HPC,Homo sapiens,"('P02675', 'P02679')"
2HYE,Homo sapiens,"('Q16531', 'Q13619')"
2HYE,Homo sapiens,"('Q16531', 'P62877')"
2HYE,Homo sapiens,"('Q13619', 'P62877')"
2IO2,Homo sapiens,"('Q9HC62', 'P63165')"
2IO2,Homo sapiens,"('Q9HC62', 'P46060')"
2IO2,Homo sapiens,"('P63165', 'P46060')"
2IO3,Homo sapiens,"('Q9HC62', 'P61956')"
2IO3,Homo sapiens,"('Q9HC62', 'P46060')"
2IO3,Homo sapiens,"('P61956', 'P46060')"
2IY0,Homo sapiens,"('Q9P0U3', 'P63165')"
2IY0,Homo sapiens,"('Q9P0U3', 'P46060')"
2IY0,Homo sapiens,"('P63165', 'P46060')"
2IZV,Homo sapiens,"('Q8WXH5', 'Q15370')"
2IZV,Homo sapiens,"('Q8WXH5', 'Q15369')"
2IZV,Homo sapiens,"('Q15370', 'Q15369')"
2J8U,Homo sapiens,"('P04439', 'P61769')"
2J8U,Homo sapiens,"('P04439', 'Q9NPA0')"
2J8U,Homo sapiens,"('P61769', 'Q9NPA0')"
2JCC,Homo sapiens,"('P04439', 'P61769')"
2JCC,Homo sapiens,"('P04439', 'Q9NPA0')"
2JCC,Homo sapiens,"('P61769', 'Q9NPA0')"
2JG8,Homo sapiens,"('P02745', 'P02746')"
2JG8,Homo sapiens,"('P02745', 'P02747')"
2JG8,Homo sapiens,"('P02746', 'P02747')"
2JG9,Homo sapiens,"('P02745', 'P02746')"
2JG9,Homo sapiens,"('P02745', 'P02747')"
2JG9,Homo sapiens,"('P02746', 'P02747')"
2JIX,Homo sapiens,"('Q7Z3Y4', 'P19235')"
2JIX,Homo sapiens,"('Q7Z3Y4', 'Q6GMX6')"
2JIX,Homo sapiens,"('P19235', 'Q6GMX6')"
2KI6,Homo sapiens,"('P21579', 'P05230')"
2KI6,Homo sapiens,"('P21579', 'Q99584')"
2KI6,Homo sapiens,"('P05230', 'Q99584')"
2LXT,Homo sapiens,"('Q92793', 'Q03164')"
2LXT,Homo sapiens,"('Q92793', 'P16220')"
2LXT,Homo sapiens,"('Q03164', 'P16220')"
2MSE,Homo sapiens,"('P02647', 'A0A024RAV5')"
2MSE,Homo sapiens,"('P02647', 'P10398')"
2MSE,Homo sapiens,"('A0A024RAV5', 'P10398')"
2MTP,Homo sapiens,"('P21333', 'P08514')"
2MTP,Homo sapiens,"('P21333', 'P05106')"
2MTP,Homo sapiens,"('P08514', 'P05106')"
2NNA,Homo sapiens,"('P01909', 'P01920')"
2NNA,Homo sapiens,"('P01909', 'P18573')"
2NNA,Homo sapiens,"('P01920', 'P18573')"
2NPP,Homo sapiens,"('P30153', 'Q13362')"
2NPP,Homo sapiens,"('P30153', 'P67775')"
2NPP,Homo sapiens,"('Q13362', 'P67775')"
2NUP,Homo sapiens,"('Q15436', 'O95486')"
2NUP,Homo sapiens,"('Q15436', 'O75396')"
2NUP,Homo sapiens,"('O95486', 'O75396')"
2NUT,Homo sapiens,"('Q15436', 'O95486')"
2NUT,Homo sapiens,"('Q15436', 'O75396')"
2NUT,Homo sapiens,"('O95486', 'O75396')"
2NXY,Homo sapiens,"('P01730', 'Q6P5S8')"
2NXY,Homo sapiens,"('P01730', 'Q6N095')"
2NXY,Homo sapiens,"('Q6P5S8', 'Q6N095')"
2NY1,Homo sapiens,"('P01730', 'Q6P5S8')"
2NY1,Homo sapiens,"('P01730', 'Q6N030')"
2NY1,Homo sapiens,"('Q6P5S8', 'Q6N030')"
2NY3,Homo sapiens,"('P01730', 'Q6N030')"
2NY3,Homo sapiens,"('P01730', 'Q6P5S8')"
2NY3,Homo sapiens,"('Q6N030', 'Q6P5S8')"
2NY6,Homo sapiens,"('P01730', 'Q6P5S8')"
2NY6,Homo sapiens,"('P01730', 'Q6N030')"
2NY6,Homo sapiens,"('Q6P5S8', 'Q6N030')"
2NYL,Homo sapiens,"('P30153', 'Q13362')"
2NYL,Homo sapiens,"('P30153', 'P67775')"
2NYL,Homo sapiens,"('Q13362', 'P67775')"
2NYM,Homo sapiens,"('P30153', 'Q13362')"
2NYM,Homo sapiens,"('P30153', 'P67775')"
2NYM,Homo sapiens,"('Q13362', 'P67775')"
2OJE,Homo sapiens,"('P01903', 'P01911')"
2OJE,Homo sapiens,"('P01903', 'Q91LS8')"
2OJE,Homo sapiens,"('P01911', 'Q91LS8')"
2OYH,Homo sapiens,"('P02671', 'P02675')"
2OYH,Homo sapiens,"('P02671', 'P02679')"
2OYH,Homo sapiens,"('P02675', 'P02679')"
2OYI,Homo sapiens,"('P02671', 'P02675')"
2OYI,Homo sapiens,"('P02671', 'P02679')"
2OYI,Homo sapiens,"('P02675', 'P02679')"
2P6B,Homo sapiens,"('P19883', 'Q08209')"
2P6B,Homo sapiens,"('P19883', 'P63098')"
2P6B,Homo sapiens,"('Q08209', 'P63098')"
2PJY,Homo sapiens,"('P10600', 'P36897')"
2PJY,Homo sapiens,"('P10600', 'P37173')"
2PJY,Homo sapiens,"('P36897', 'P37173')"
2PO6,Homo sapiens,"('P15813', 'P61769')"
2PO6,Homo sapiens,"('P15813', 'P01848')"
2PO6,Homo sapiens,"('P61769', 'P01848')"
2Q6W,Homo sapiens,"('P01903', 'P79483')"
2Q6W,Homo sapiens,"('P01903', 'P05106')"
2Q6W,Homo sapiens,"('P79483', 'P05106')"
2Q9I,Homo sapiens,"('P02671', 'P02675')"
2Q9I,Homo sapiens,"('P02671', 'P02679')"
2Q9I,Homo sapiens,"('P02675', 'P02679')"
2QAD,Homo sapiens,"('Q61026', 'P01730')"
2QAD,Homo sapiens,"('Q61026', 'A4F255')"
2QAD,Homo sapiens,"('P01730', 'A4F255')"
2QAG,Homo sapiens,"('Q15019', 'Q14141')"
2QAG,Homo sapiens,"('Q15019', 'Q16181')"
2QAG,Homo sapiens,"('Q14141', 'Q16181')"
2QFA,Homo sapiens,"('O15392', 'Q53HL2')"
2QFA,Homo sapiens,"('O15392', 'Q9NQS7')"
2QFA,Homo sapiens,"('Q53HL2', 'Q9NQS7')"
2RFX,Homo sapiens,"('P01889', 'P61769')"
