Entry ID,Accession Code Combinations
1JSU,"[('P20248', 'P24941'), ('P20248', 'P46527'), ('P24941', 'P46527')]"
1L1O,"[('P15927', 'P35244'), ('P15927', 'P27694'), ('P35244', 'P27694')]"
1LM8,"[('Q15369', 'P40337'), ('Q15369', 'Q15370'), ('P40337', 'Q15370')]"
1LQB,"[('Q15369', 'P40337'), ('Q15369', 'Q15370'), ('P40337', 'Q15370')]"
1LT9,"[('P02671', 'P02679'), ('P02671', 'P02675'), ('P02679', 'P02675')]"
1LTJ,"[('P02671', 'P02679'), ('P02671', 'P02675'), ('P02679', 'P02675')]"
1M63,"[('P62937', 'Q08209'), ('P62937', 'P63098'), ('Q08209', 'P63098')]"
1MF8,"[('P62937', 'Q08209'), ('P62937', 'P63098'), ('Q08209', 'P63098')]"
1N86,"[('P02671', 'P02679'), ('P02671', 'P02675'), ('P02679', 'P02675')]"
1N8E,"[('P02671', 'P02679'), ('P02671', 'P02675'), ('P02679', 'P02675')]"
1NFI,"[('Q04206', 'P25963'), ('Q04206', 'P19838'), ('P25963', 'P19838')]"
1NVP,"[('P52657', 'P52655'), ('P52657', 'P20226'), ('P52655', 'P20226')]"
1OF2,"[('P01889', 'P32241'), ('P01889', 'P61769'), ('P32241', 'P61769')]"
1OGT,"[('P01889', 'P32241'), ('P01889', 'P61769'), ('P32241', 'P61769')]"
1P22,"[('Q9Y297', 'P63208'), ('Q9Y297', 'P35222'), ('P63208', 'P35222')]"
1P7Q,"[('P61769', 'P04439'), ('P61769', 'Q8NHL6'), ('P04439', 'Q8NHL6')]"
1P9M,"[('P08887', 'P05231'), ('P08887', 'P40189'), ('P05231', 'P40189')]"
1PK6,"[('P02746', 'P02745'), ('P02746', 'P02747'), ('P02745', 'P02747')]"
1QEW,"[('P43357', 'P61769'), ('P43357', 'P04439'), ('P61769', 'P04439')]"
1QRN,"[('P01848', 'P61769'), ('P01848', 'P04439'), ('P61769', 'P04439')]"
1QSF,"[('P01848', 'P61769'), ('P01848', 'P04439'), ('P61769', 'P04439')]"
1R4M,"[('Q8TBC4', 'Q15843'), ('Q8TBC4', 'Q13564'), ('Q15843', 'Q13564')]"
1R4N,"[('Q8TBC4', 'Q15843'), ('Q8TBC4', 'Q13564'), ('Q15843', 'Q13564')]"
1RE3,"[('P02671', 'P02679'), ('P02671', 'P02675'), ('P02679', 'P02675')]"
1RE4,"[('P02671', 'P02679'), ('P02671', 'P02675'), ('P02679', 'P02675')]"
1RF0,"[('P02671', 'P02679'), ('P02671', 'P02675'), ('P02679', 'P02675')]"
1RF1,"[('P02671', 'P02679'), ('P02671', 'P02675'), ('P02679', 'P02675')]"
1S9K,"[('P05412', 'P01100'), ('P05412', 'Q13469'), ('P01100', 'Q13469')]"
1T08,"[('P35222', 'Q9NSA3'), ('P35222', 'P25054'), ('Q9NSA3', 'P25054')]"
1T2K,"[('Q14653', 'P05412'), ('Q14653', 'P15336'), ('P05412', 'P15336')]"
1T9G,"[('P11310', 'P38117'), ('P11310', 'P13804'), ('P38117', 'P13804')]"
1TT5,"[('P61081', 'Q8TBC4'), ('P61081', 'Q13564'), ('Q8TBC4', 'Q13564')]"
1U6G,"[('Q13616', 'Q86VP6'), ('Q13616', 'P62877'), ('Q86VP6', 'P62877')]"
1UVQ,"[('E9PMV2', 'P01920'), ('E9PMV2', 'O43612'), ('P01920', 'O43612')]"
1VCB,"[('Q15369', 'P40337'), ('Q15369', 'Q15370'), ('P40337', 'Q15370')]"
1W0V,"[('P01889', 'P47974'), ('P01889', 'P61769'), ('P47974', 'P61769')]"
1W0W,"[('P01889', 'P47974'), ('P01889', 'P61769'), ('P47974', 'P61769')]"
1W72,"[('P43355', 'P61769'), ('P43355', 'P04439'), ('P61769', 'P04439')]"
1XV9,"[('P19793', 'Q15788'), ('P19793', 'Q14994'), ('Q15788', 'Q14994')]"
1XVP,"[('P19793', 'Q15788'), ('P19793', 'Q14994'), ('Q15788', 'Q14994')]"
1XWD,"[('P01215', 'P23945'), ('P01215', 'P01225'), ('P23945', 'P01225')]"
1Y8R,"[('Q9UBT2', 'Q9UBE0'), ('Q9UBT2', 'P63165'), ('Q9UBE0', 'P63165')]"
2A1T,"[('P11310', 'P38117'), ('P11310', 'P13804'), ('P38117', 'P13804')]"
2ASS,"[('P63208', 'P61024'), ('P63208', 'Q13309'), ('P61024', 'Q13309')]"
2AST,"[('P63208', 'P61024'), ('P63208', 'Q13309'), ('P61024', 'Q13309')]"
2AZE,"[('Q14186', 'P06400'), ('Q14186', 'Q01094'), ('P06400', 'Q01094')]"
2C9W,"[('Q15369', 'Q15370'), ('Q15369', 'O14508'), ('Q15370', 'O14508')]"
2CCH,"[('Q99741', 'P20248'), ('Q99741', 'P24941'), ('P20248', 'P24941')]"
2CCI,"[('Q99741', 'P20248'), ('Q99741', 'P24941'), ('P20248', 'P24941')]"
2CIK,"[('P33260', 'P61769'), ('P33260', 'O19626'), ('P61769', 'O19626')]"
2CLR,"[('P27797', 'P61769'), ('P27797', 'P04439'), ('P61769', 'P04439')]"
2D31,"[('P16104', 'P61769'), ('P16104', 'P17693'), ('P61769', 'P17693')]"
2DSQ,"[('P22692', 'P08833'), ('P22692', 'Q9NP10'), ('P08833', 'Q9NP10')]"
2DYP,"[('P61769', 'Q8N423'), ('P61769', 'P17693'), ('Q8N423', 'P17693')]"
2F53,"[('P01848', 'P61769'), ('P01848', 'P04439'), ('P61769', 'P04439')]"
2F8X,"[('Q92585', 'P46531'), ('Q92585', 'Q06330'), ('P46531', 'Q06330')]"
2FFD,"[('P02671', 'P02679'), ('P02671', 'P02675'), ('P02679', 'P02675')]"
2GL7,"[('Q9NQB0', 'P35222'), ('Q9NQB0', 'O00512'), ('P35222', 'O00512')]"
2H43,"[('P02671', 'P02679'), ('P02671', 'P02675'), ('P02679', 'P02675')]"
2H62,"[('Q13705', 'P12643'), ('Q13705', 'P36894'), ('P12643', 'P36894')]"
2HLO,"[('P02671', 'P02679'), ('P02671', 'P02675'), ('P02679', 'P02675')]"
2HOD,"[('P02671', 'P02679'), ('P02671', 'P02675'), ('P02679', 'P02675')]"
2HPC,"[('P02671', 'P02679'), ('P02671', 'P02675'), ('P02679', 'P02675')]"
2HYE,"[('Q13619', 'Q16531'), ('Q13619', 'P62877'), ('Q16531', 'P62877')]"
2IO2,"[('P46060', 'P63165'), ('P46060', 'Q9HC62'), ('P63165', 'Q9HC62')]"
2IO3,"[('P46060', 'P61956'), ('P46060', 'Q9HC62'), ('P61956', 'Q9HC62')]"
2IY0,"[('Q9P0U3', 'P63165'), ('Q9P0U3', 'P46060'), ('P63165', 'P46060')]"
2IZV,"[('Q15369', 'Q8WXH5'), ('Q15369', 'Q15370'), ('Q8WXH5', 'Q15370')]"
2J8U,"[('Q9NPA0', 'P61769'), ('Q9NPA0', 'P04439'), ('P61769', 'P04439')]"
2JCC,"[('Q9NPA0', 'P61769'), ('Q9NPA0', 'P04439'), ('P61769', 'P04439')]"
2JG8,"[('P02746', 'P02745'), ('P02746', 'P02747'), ('P02745', 'P02747')]"
2JG9,"[('P02746', 'P02745'), ('P02746', 'P02747'), ('P02745', 'P02747')]"
2JIX,"[('Q7Z3Y4', 'Q6GMX6'), ('Q7Z3Y4', 'P19235'), ('Q6GMX6', 'P19235')]"
2KI6,"[('P05230', 'Q99584'), ('P05230', 'P21579'), ('Q99584', 'P21579')]"
2LXT,"[('P16220', 'Q92793'), ('P16220', 'Q03164'), ('Q92793', 'Q03164')]"
2MSE,"[('A0A024RAV5', 'P02647'), ('A0A024RAV5', 'P10398'), ('P02647', 'P10398')]"
2MTP,"[('P05106', 'P08514'), ('P05106', 'P21333'), ('P08514', 'P21333')]"
2NPP,"[('Q13362', 'P67775'), ('Q13362', 'P30153'), ('P67775', 'P30153')]"
2NUP,"[('Q15436', 'O75396'), ('Q15436', 'O95486'), ('O75396', 'O95486')]"
2NUT,"[('Q15436', 'O75396'), ('Q15436', 'O95486'), ('O75396', 'O95486')]"
2NXY,"[('P01730', 'Q6P5S8'), ('P01730', 'Q6N095'), ('Q6P5S8', 'Q6N095')]"
2NY1,"[('Q6N030', 'P01730'), ('Q6N030', 'Q6P5S8'), ('P01730', 'Q6P5S8')]"
2NY3,"[('Q6N030', 'P01730'), ('Q6N030', 'Q6P5S8'), ('P01730', 'Q6P5S8')]"
2NY6,"[('Q6N030', 'P01730'), ('Q6N030', 'Q6P5S8'), ('P01730', 'Q6P5S8')]"
2NYL,"[('Q13362', 'P67775'), ('Q13362', 'P30153'), ('P67775', 'P30153')]"
2NYM,"[('Q13362', 'P67775'), ('Q13362', 'P30153'), ('P67775', 'P30153')]"
2OYH,"[('P02671', 'P02679'), ('P02671', 'P02675'), ('P02679', 'P02675')]"
2OYI,"[('P02671', 'P02679'), ('P02671', 'P02675'), ('P02679', 'P02675')]"
2P5E,"[('P01848', 'P61769'), ('P01848', 'P04439'), ('P61769', 'P04439')]"
2P5W,"[('P01848', 'P61769'), ('P01848', 'P04439'), ('P61769', 'P04439')]"
2PJY,"[('P10600', 'P36897'), ('P10600', 'P37173'), ('P36897', 'P37173')]"
2PO6,"[('P15813', 'P61769'), ('P15813', 'P01848'), ('P61769', 'P01848')]"
2PYE,"[('P01848', 'P61769'), ('P01848', 'P04439'), ('P61769', 'P04439')]"
2Q6W,"[('P01903', 'P79483'), ('P01903', 'P05106'), ('P79483', 'P05106')]"
2Q9I,"[('P02671', 'P02679'), ('P02671', 'P02675'), ('P02679', 'P02675')]"
2QAG,"[('Q16181', 'Q15019'), ('Q16181', 'Q14141'), ('Q15019', 'Q14141')]"
2QFA,"[('Q9NQS7', 'O15392'), ('Q9NQS7', 'Q53HL2'), ('O15392', 'Q53HL2')]"
2SEB,"[('P01903', 'P01911'), ('P01903', 'P02458'), ('P01911', 'P02458')]"
2UWE,"[('Q9NPA0', 'P61769'), ('Q9NPA0', 'P04439'), ('P61769', 'P04439')]"
2UXN,"[('P68431', 'O60341'), ('P68431', 'Q9UKL0'), ('O60341', 'Q9UKL0')]"
2V1D,"[('Q16695', 'O60341'), ('Q16695', 'Q9UKL0'), ('O60341', 'Q9UKL0')]"
2VDO,"[('P02679', 'P08514'), ('P02679', 'P05106'), ('P08514', 'P05106')]"
2VDP,"[('P02679', 'P08514'), ('P02679', 'P05106'), ('P08514', 'P05106')]"
2VDQ,"[('P02679', 'P08514'), ('P02679', 'P05106'), ('P08514', 'P05106')]"
2VDR,"[('P02679', 'P08514'), ('P02679', 'P05106'), ('P08514', 'P05106')]"
2VPG,"[('P68431', 'O00512'), ('P68431', 'Q9Y3Y4'), ('O00512', 'Q9Y3Y4')]"
2WNU,"[('P02746', 'P02745'), ('P02746', 'P02747'), ('P02745', 'P02747')]"
2WNV,"[('P02746', 'P02745'), ('P02746', 'P02747'), ('P02745', 'P02747')]"
2WTK,"[('Q15831', 'Q7RTN6'), ('Q15831', 'Q9Y376'), ('Q7RTN6', 'Q9Y376')]"
2X0L,"[('P68431', 'O60341'), ('P68431', 'Q9UKL0'), ('O60341', 'Q9UKL0')]"
2XNX,"[('P02671', 'P02679'), ('P02671', 'P02675'), ('P02679', 'P02675')]"
2XNY,"[('P02671', 'P02679'), ('P02671', 'P02675'), ('P02679', 'P02675')]"
2XPG,"[('P61769', 'P04439'), ('P61769', 'P60201'), ('P04439', 'P60201')]"
2XQN,"[('Q8N8S7', 'Q9UGI8'), ('Q8N8S7', 'Q9Y615'), ('Q9UGI8', 'Q9Y615')]"
2XWB,"[('P01024', 'P00746'), ('P01024', 'P00751'), ('P00746', 'P00751')]"
2Y48,"[('O95863', 'O60341'), ('O95863', 'Q9UKL0'), ('O60341', 'Q9UKL0')]"
2Z4E,"[('P02671', 'P02679'), ('P02671', 'P02675'), ('P02679', 'P02675')]"
2ZME,"[('Q9BRG1', 'Q86VN1'), ('Q9BRG1', 'Q96H20'), ('Q86VN1', 'Q96H20')]"
3A1J,"[('O60921', 'Q99638'), ('O60921', 'O60671'), ('Q99638', 'O60671')]"
3B3I,"[('P01889', 'P32241'), ('P01889', 'P61769'), ('P32241', 'P61769')]"
3BP4,"[('P01889', 'P10619'), ('P01889', 'P61769'), ('P10619', 'P61769')]"
3BP7,"[('P01889', 'P61769'), ('P01889', 'P10619'), ('P61769', 'P10619')]"
3BPL,"[('P24394', 'P05112'), ('P24394', 'P31785'), ('P05112', 'P31785')]"
3BPN,"[('P24394', 'P78552'), ('P24394', 'P05112'), ('P78552', 'P05112')]"
3BPO,"[('P78552', 'P24394'), ('P78552', 'P35225'), ('P24394', 'P35225')]"
3BT1,"[('P04004', 'Q03405'), ('P04004', 'P00749'), ('Q03405', 'P00749')]"
3BT2,"[('P04004', 'Q03405'), ('P04004', 'P00749'), ('Q03405', 'P00749')]"
3BVH,"[('P02671', 'P02679'), ('P02671', 'P02675'), ('P02679', 'P02675')]"
3C5J,"[('P01903', 'B8YAC7'), ('P01903', 'Q05639'), ('B8YAC7', 'Q05639')]"
3C5W,"[('P67775', 'Q9Y570'), ('P67775', 'P30153'), ('Q9Y570', 'P30153')]"
3CUQ,"[('Q9BRG1', 'Q86VN1'), ('Q9BRG1', 'Q96H20'), ('Q86VN1', 'Q96H20')]"
3D2U,"[('P60709', 'P61769'), ('P60709', 'Q8NHL6'), ('P61769', 'Q8NHL6')]"
3D3V,"[('P01850', 'P61769'), ('P01850', 'P04439'), ('P61769', 'P04439')]"
3D85,"[('Q9NPF7', 'P01857'), ('Q9NPF7', 'P29460'), ('P01857', 'P29460')]"
3DBH,"[('Q8TBC4', 'Q15843'), ('Q8TBC4', 'Q13564'), ('Q15843', 'Q13564')]"
3DBL,"[('Q8TBC4', 'Q15843'), ('Q8TBC4', 'Q13564'), ('Q15843', 'Q13564')]"
3DBR,"[('Q8TBC4', 'Q15843'), ('Q8TBC4', 'Q13564'), ('Q15843', 'Q13564')]"
3DQV,"[('P62877', 'Q93034'), ('P62877', 'Q15843'), ('Q93034', 'Q15843')]"
3DW8,"[('P67775', 'P63151'), ('P67775', 'P30153'), ('P63151', 'P30153')]"
3DXA,"[('P01889', 'P61769'), ('P01889', 'P01848'), ('P61769', 'P01848')]"
3E1I,"[('P02671', 'P02679'), ('P02671', 'P02675'), ('P02679', 'P02675')]"
3EGD,"[('Q15436', 'O75396'), ('Q15436', 'O95486'), ('O75396', 'O95486')]"
3EGX,"[('Q15436', 'O75396'), ('Q15436', 'O95486'), ('O75396', 'O95486')]"
3FEX,"[('P52298', 'P52292'), ('P52298', 'Q09161'), ('P52292', 'Q09161')]"
3FEY,"[('P52298', 'P52292'), ('P52298', 'Q09161'), ('P52292', 'Q09161')]"
3FFC,"[('P01889', 'P61769'), ('P01889', 'P01850'), ('P61769', 'P01850')]"
3FGA,"[('Q13362', 'Q5FBB7'), ('Q13362', 'P67775'), ('Q5FBB7', 'P67775')]"
3G65,"[('O60921', 'O60671'), ('O60921', 'Q99638'), ('O60671', 'Q99638')]"
3GGR,"[('O60921', 'Q99638'), ('O60921', 'O60671'), ('Q99638', 'O60671')]"
3GHG,"[('P02671', 'P02679'), ('P02671', 'P02675'), ('P02679', 'P02675')]"
3GSN,"[('P01848', 'P61769'), ('P01848', 'P04439'), ('P61769', 'P04439')]"
3GZN,"[('Q8TBC4', 'Q15843'), ('Q8TBC4', 'Q13564'), ('Q15843', 'Q13564')]"
3H0A,"[('P37231', 'P19793'), ('P37231', 'Q15788'), ('P19793', 'Q15788')]"
3H32,"[('P02671', 'P02679'), ('P02671', 'P02675'), ('P02679', 'P02675')]"
3HPJ,"[('P61769', 'P04439'), ('P61769', 'P19544'), ('P04439', 'P19544')]"
3HUS,"[('P02671', 'P02679'), ('P02671', 'P02675'), ('P02679', 'P02675')]"
3JVZ,"[('P62837', 'Q96PU5'), ('P62837', 'P0CG48'), ('Q96PU5', 'P0CG48')]"
3JW0,"[('P62837', 'Q96PU5'), ('P62837', 'P0CG48'), ('Q96PU5', 'P0CG48')]"
3KFD,"[('P01137', 'P36897'), ('P01137', 'P37173'), ('P36897', 'P37173')]"
3KLA,"[('P61769', 'P78358'), ('P61769', 'P04439'), ('P78358', 'P04439')]"
3KYC,"[('Q9UBT2', 'Q9UBE0'), ('Q9UBT2', 'P63165'), ('Q9UBE0', 'P63165')]"
3KYD,"[('Q9UBT2', 'Q9UBE0'), ('Q9UBT2', 'P63165'), ('Q9UBE0', 'P63165')]"
3L6F,"[('P01903', 'P01911'), ('P01903', 'Q16655'), ('P01911', 'Q16655')]"
3LL8,"[('Q08209', 'P24588'), ('Q08209', 'P63098'), ('P24588', 'P63098')]"
3LN4,"[('P01889', 'P61769'), ('P01889', 'P07910'), ('P61769', 'P07910')]"
3LN5,"[('Q13126', 'P01889'), ('Q13126', 'P61769'), ('P01889', 'P61769')]"
3LV3,"[('P01889', 'P61769'), ('P01889', 'Q01668'), ('P61769', 'Q01668')]"
3M0D,"[('Q13489', 'Q12933'), ('Q13489', 'Q13077'), ('Q12933', 'Q13077')]"
3MOP,"[('Q99836', 'O43187'), ('Q99836', 'Q9NWZ3'), ('O43187', 'Q9NWZ3')]"
3MRK,"[('P02771', 'P61769'), ('P02771', 'P04439'), ('P61769', 'P04439')]"
3MRO,"[('Q16655', 'P61769'), ('Q16655', 'P04439'), ('P61769', 'P04439')]"
3MRP,"[('Q16655', 'P61769'), ('Q16655', 'P04439'), ('P61769', 'P04439')]"
3MRQ,"[('Q16655', 'P61769'), ('Q16655', 'P04439'), ('P61769', 'P04439')]"
3MRR,"[('Q92959', 'P61769'), ('Q92959', 'P04439'), ('P61769', 'P04439')]"
3MYJ,"[('P61769', 'P04439'), ('P61769', 'P19544'), ('P04439', 'P19544')]"
3NBN,"[('Q92585', 'P46531'), ('Q92585', 'Q06330'), ('P46531', 'Q06330')]"
3O4O,"[('P01584', 'Q9NPH3'), ('P01584', 'P27930'), ('Q9NPH3', 'P27930')]"
3OJ4,"[('P21580', 'P51668'), ('P21580', 'P0CG48'), ('P51668', 'P0CG48')]"
3OJY,"[('P07360', 'P07358'), ('P07360', 'P07357'), ('P07358', 'P07357')]"
3P4F,"[('Q03164', 'Q15291'), ('Q03164', 'P61964'), ('Q15291', 'P61964')]"
3P56,"[('Q5TBB1', 'Q8TDP1'), ('Q5TBB1', 'O75792'), ('Q8TDP1', 'O75792')]"
3PDO,"[('P01903', 'P01911'), ('P01903', 'P04233'), ('P01911', 'P04233')]"
3PGC,"[('P01903', 'P01911'), ('P01903', 'P04233'), ('P01911', 'P04233')]"
3PGD,"[('P01903', 'P01911'), ('P01903', 'P04233'), ('P01911', 'P04233')]"
3PUF,"[('Q5TBB1', 'Q8TDP1'), ('Q5TBB1', 'O75792'), ('Q8TDP1', 'O75792')]"
3PWP,"[('P01848', 'P61769'), ('P01848', 'P04439'), ('P61769', 'P04439')]"
3QAZ,"[('P31785', 'P14784'), ('P31785', 'P60568'), ('P14784', 'P60568')]"
3QDG,"[('P01848', 'P61769'), ('P01848', 'P04439'), ('P61769', 'P04439')]"
3QDJ,"[('P01848', 'P61769'), ('P01848', 'P04439'), ('P61769', 'P04439')]"
3QDM,"[('P01848', 'P61769'), ('P01848', 'P04439'), ('P61769', 'P04439')]"
3QEQ,"[('P01848', 'P61769'), ('P01848', 'P04439'), ('P61769', 'P04439')]"
3QXA,"[('P01903', 'P01911'), ('P01903', 'P04233'), ('P01911', 'P04233')]"
3QXD,"[('P01903', 'P01911'), ('P01903', 'P04233'), ('P01911', 'P04233')]"
3QZW,"[('P01732', 'P61769'), ('P01732', 'P04439'), ('P61769', 'P04439')]"
3R45,"[('P49450', 'P62805'), ('P49450', 'Q8NCD3'), ('P62805', 'Q8NCD3')]"
3RK3,"[('O14810', 'P60880'), ('O14810', 'P63027'), ('P60880', 'P63027')]"
3RL0,"[('O14810', 'P60880'), ('O14810', 'P63027'), ('P60880', 'P63027')]"
3RPG,"[('P35226', 'Q99496'), ('P35226', 'P61077'), ('Q99496', 'P61077')]"
3S4S,"[('P01903', 'P01911'), ('P01903', 'P01730'), ('P01911', 'P01730')]"
3SDX,"[('P15813', 'P61769'), ('P15813', 'P01848'), ('P61769', 'P01848')]"
3SE3,"[('P17181', 'P48551'), ('P17181', 'P01563'), ('P48551', 'P01563')]"
3SE4,"[('P17181', 'P05000'), ('P17181', 'P48551'), ('P05000', 'P48551')]"
3SJV,"[('P01889', 'P61769'), ('P01889', 'P01848'), ('P61769', 'P01848')]"
3TDU,"[('Q13616', 'P61081'), ('Q13616', 'Q96GG9'), ('P61081', 'Q96GG9')]"
3TDZ,"[('Q13616', 'P61081'), ('Q13616', 'Q96GG9'), ('P61081', 'Q96GG9')]"
3TQ7,"[('Q14203', 'Q9UPY8'), ('Q14203', 'Q15691'), ('Q9UPY8', 'Q15691')]"
3U88,"[('Q03164', 'O75475'), ('Q03164', 'O00255'), ('O75475', 'O00255')]"
3UTQ,"[('P01308', 'P61769'), ('P01308', 'P04439'), ('P61769', 'P04439')]"
3UTS,"[('P01308', 'P61769'), ('P01308', 'P04439'), ('P61769', 'P04439')]"
3UTT,"[('P01308', 'P61769'), ('P01308', 'P04439'), ('P61769', 'P04439')]"
3V5D,"[('P61769', 'P04439'), ('P61769', 'E0YFW1'), ('P04439', 'E0YFW1')]"
3V5H,"[('P61769', 'P04439'), ('P61769', 'E0YFW1'), ('P04439', 'E0YFW1')]"
3V5K,"[('P61769', 'P04439'), ('P61769', 'E0YFW1'), ('P04439', 'E0YFW1')]"
3V79,"[('Q92585', 'P46531'), ('Q92585', 'Q06330'), ('P46531', 'Q06330')]"
3VON,"[('Q96FW1', 'P61088'), ('Q96FW1', 'Q15819'), ('P61088', 'Q15819')]"
3VU7,"[('O60673', 'Q9UBZ9'), ('O60673', 'Q9UI95'), ('Q9UBZ9', 'Q9UI95')]"
3WO4,"[('O95256', 'Q13478'), ('O95256', 'Q14116'), ('Q13478', 'Q14116')]"
3X11,"[('P01889', 'P61769'), ('P01889', 'P01834'), ('P61769', 'P01834')]"
3X12,"[('P01889', 'P61769'), ('P01889', 'P01834'), ('P61769', 'P01834')]"
3X1U,"[('P68431', 'P62805'), ('P68431', 'P33778'), ('P62805', 'P33778')]"
3X1V,"[('P68431', 'P62805'), ('P68431', 'P04908'), ('P62805', 'P04908')]"
3ZJY,"[('O94829', 'P62826'), ('O94829', 'P47813'), ('P62826', 'P47813')]"
3ZKJ,"[('Q15369', 'Q96DX5'), ('Q15369', 'Q15370'), ('Q96DX5', 'Q15370')]"
3ZMS,"[('Q01101', 'O60341'), ('Q01101', 'Q9UKL0'), ('O60341', 'Q9UKL0')]"
3ZNG,"[('Q15369', 'Q96DX5'), ('Q15369', 'Q15370'), ('Q96DX5', 'Q15370')]"
3ZRC,"[('Q15369', 'P40337'), ('Q15369', 'Q15370'), ('P40337', 'Q15370')]"
3ZRF,"[('Q15369', 'P40337'), ('Q15369', 'Q15370'), ('P40337', 'Q15370')]"
3ZTC,"[('Q15369', 'P40337'), ('Q15369', 'Q15370'), ('P40337', 'Q15370')]"
3ZTD,"[('Q15369', 'P40337'), ('Q15369', 'Q15370'), ('P40337', 'Q15370')]"
3ZUN,"[('Q15369', 'P40337'), ('Q15369', 'Q15370'), ('P40337', 'Q15370')]"
4A4B,"[('P22681', 'P62837'), ('P22681', 'P43403'), ('P62837', 'P43403')]"
4A4C,"[('P22681', 'P62837'), ('P22681', 'P43403'), ('P62837', 'P43403')]"
4AEN,"[('P01903', 'P01911'), ('P01903', 'P04233'), ('P01911', 'P04233')]"
4AJ5,"[('Q8IX90', 'Q96BD8'), ('Q8IX90', 'Q8WVK7'), ('Q96BD8', 'Q8WVK7')]"
4AUQ,"[('P62837', 'P0CG48'), ('P62837', 'Q96CA5'), ('P0CG48', 'Q96CA5')]"
4AWJ,"[('Q15369', 'P40337'), ('Q15369', 'Q15370'), ('P40337', 'Q15370')]"
4AWL,"[('P23511', 'P25208'), ('P23511', 'Q13952'), ('P25208', 'Q13952')]"
4AY9,"[('P01215', 'P23945'), ('P01215', 'P01225'), ('P23945', 'P01225')]"
4B95,"[('Q15369', 'P40337'), ('Q15369', 'Q15370'), ('P40337', 'Q15370')]"
4B9K,"[('P40337', 'Q15369'), ('P40337', 'Q15370'), ('Q15369', 'Q15370')]"
4BKS,"[('Q15369', 'P40337'), ('Q15369', 'Q15370'), ('P40337', 'Q15370')]"
4BKT,"[('Q15369', 'P40337'), ('Q15369', 'Q15370'), ('P40337', 'Q15370')]"
4BWS,"[('P83876', 'O60828'), ('P83876', 'O95400'), ('O60828', 'O95400')]"
4C0D,"[('O75175', 'Q9NZN8'), ('O75175', 'A5YKK6'), ('Q9NZN8', 'A5YKK6')]"
4CAY,"[('Q9BTT0', 'P0C0S5'), ('Q9BTT0', 'P06899'), ('P0C0S5', 'P06899')]"
4CFE,"[('Q9Y478', 'P54619'), ('Q9Y478', 'P54646'), ('P54619', 'P54646')]"
4CFF,"[('Q9Y478', 'P54619'), ('Q9Y478', 'P54646'), ('P54619', 'P54646')]"
4CY2,"[('Q9H9L4', 'Q7Z3B3'), ('Q9H9L4', 'P61964'), ('Q7Z3B3', 'P61964')]"
4D0M,"[('Q9UBF8', 'O75154'), ('Q9UBF8', 'P62491'), ('O75154', 'P62491')]"
4D9R,"[('P00746', 'P01857'), ('P00746', 'P01834'), ('P01857', 'P01834')]"
4DAY,"[('Q96E14', 'Q9H9A7'), ('Q96E14', 'Q8IYD8'), ('Q9H9A7', 'Q8IYD8')]"
4DCK,"[('Q92913', 'P0DP23'), ('Q92913', 'Q14524'), ('P0DP23', 'Q14524')]"
